ref,External ID,Name,City,Country,customer,supplier,Email,Fax,Is a Company,Mobile,Phone,Notes,State,Street,Street2,Zip,Account Payable,Account Receivable,Tags,Vendor Payment Terms
ZS 835,vendor0049,Cipta Sandang Textile - PKP (Zoya),,,FALSE,TRUE,,,,,,,,,,,,,,
SPL-0000222,vendor0050,WJM Print PT.Wahana Jengkar Maheswari,,,FALSE,TRUE,,,,,,,,JL. Gatot Subroto No. 190 A Bandung,,,,,,
SS.038,vendor0051,FIEF BATIK (SLP),,,FALSE,TRUE,,,,021-42888617,,,,Nazim Bahanan,,,,,,
SS.039,vendor0052,BATIK HILMA (SLP),,,FALSE,TRUE,,,,18320639293,,,,Handi Sofyan,,,,,,
ZAY,vendor0053,Zayyint,,,FALSE,TRUE,,,,,,,,,,,,,,
SV.012,vendor0054,ATEP (SLP),,,FALSE,TRUE,,,,,,,,Bandung.,,,,,,
V0240,vendor0055,Edwin,,,FALSE,TRUE,,,,,,,,,,,,,,
ARD,vendor0056,ARDILLA,,,FALSE,TRUE,,,,,,,,,,,,,,
V0241,vendor0057,Enas,,,FALSE,TRUE,,,,,,,,,,,,,,
V0243,vendor0058,Budiman,,,FALSE,TRUE,,,,,,,,,,,,,,
RVC,vendor0059,Revall Cutting,,,FALSE,TRUE,,,,,,,,,,,,,,
RIN,vendor0060,RINA (Vendor),,,FALSE,TRUE,,,,,,,,,,,,,,
MS.017,vendor0061,Tjoret,,,FALSE,TRUE,,,,,,,,Tjoret,,,,,,
TTG,vendor0062,Toko Tiga,,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.237,vendor0063,PT SINAR INTERNUSA INDAH / ASKING (ZOYA),,,FALSE,TRUE,sii_asking@yahoo.co.id,,,022 5400522,811236869,,,Jl. Kopo Bihbul Raya No.97 Bandung,,,,,,Net 7 Days
TRI,vendor0064,TRIBUANA,,,FALSE,TRUE,,,,,,,,,,,,,,
V0187,vendor0065,Median,,,FALSE,TRUE,,,,,,,,,,,,,,
SRW,vendor0066,Sari Washing,,,FALSE,TRUE,,,,,,,,,,,,,,
PDL,vendor0067,PD.Lachu (BB),,,FALSE,TRUE,,,,,,,,,,,,,,
ELV-FMS,vendor0068,ELVIA (FAMOS),,,FALSE,TRUE,,,,2139841780,,,,BANDUNG,,,,,,
LKS,vendor0069,Laksmi Textile,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
MA ITC JKT,vendor0070,MAC,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
MK01,vendor0071,MULIA KERUDUNG (FAMOS),,,FALSE,TRUE,,,,81321244345,,,,JAKARTA,,,,,,
SV.048,vendor0072,KOKOM (SLP),,,FALSE,TRUE,,,,022-92362820,,,,KOKOM,,,,,,Net 14 Days
ZS.029,vendor0073,PEMUDA TEXTILE (ZOYA),,,FALSE,TRUE,,,,(022) 4200388,,,,PEMUDA TEXTILE (ZOYA),,,,,,
NND,vendor0074,Nandang,,,FALSE,TRUE,,,,,,,,,,,,,,
S0012,vendor0075,MULIATEX,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
HRD,vendor0076,Herdy,,,FALSE,TRUE,,,,,,,,,,,,,,
FW02,vendor0077,FAWAZ,,,FALSE,TRUE,,,,,,,,,,,,,,
SC 01,vendor0078,SECURITY,,,FALSE,TRUE,,,,,,,,.SECURITY,,,,,,
DNY 01,vendor0079,DANY (FAMOS),,,FALSE,TRUE,,,,,,,,.DANY (FAMOS),,,,,,
RMN,vendor0080,Rohman,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ICA,vendor0081,ICAH,,,FALSE,TRUE,,,,,,,,ICAH,,,,,,
S0018,vendor0082,21 TOKO,,,FALSE,TRUE,,,,,,,,21 TOKO,,,,,,
V0244,vendor0083,Mukhlis (CV.Doa Bersama),,,FALSE,TRUE,,,,,,,,,,,,,,
V0245,vendor0084,Yusup,,,FALSE,TRUE,,,,,,,,,,,,,,
YN,vendor0085,YENI,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ZS.082,vendor0086,MAHANAGARI (ZOYA),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
10509,vendor0087,PD. RAINBOW,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0247,vendor0088,Neya,,,FALSE,TRUE,,,,,,,,,,,,,,
DMD,vendor0089,De Moda,,,FALSE,TRUE,,,,,,,,,,,,,,
V0248,vendor0090,Dorawati,,,FALSE,TRUE,,,,,,,,,,,,,,
V0250,vendor0091,Suripto (Java Print),,,FALSE,TRUE,,,,,,,,,,,,,,
V0251,vendor0092,Yani (Vendor),,,FALSE,TRUE,,,,,,,,,,,,,,
ZV.219,vendor0093,FADL GARMENT (ZH),,,FALSE,TRUE,,,,022-92473419,,,,OBAY SOBARNA,,,,,,
V0261,vendor0094,Sriwijaya(Vendor),,,FALSE,TRUE,,,,,,,,,,,,,,
SMA,vendor0095,Sari Mulia (BB),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0233,vendor0096,Margono,,,FALSE,TRUE,,,,,,,,,,,,,,
V0234,vendor0097,Yusar,,,FALSE,TRUE,,,,,,,,,,,,,,
V0237,vendor0098,DnR,,,FALSE,TRUE,,,,,,,,,,,,,,
V0238,vendor0099,Anugrah Garment,,,FALSE,TRUE,,,,,,,,,,,,,,
V0239,vendor0100,Neni Jahit,,,FALSE,TRUE,,,,,,,,,,,,,,
ALX,vendor0101,Alex -Jakarta-,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
VIV,vendor0102,Vivi (shaffa),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,Net 7 Days
V0258,vendor0103,"Marisa,Mandiri(Vendor)",,,FALSE,TRUE,,,,,,,,,,,,,,
YAM,vendor0104,Syamsa (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
CMG,vendor0105,CEMERLANG TEX,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
S0054,vendor0106,DINA FEBRI,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0117,vendor0107,Wulan,,,FALSE,TRUE,,,,85659217666,,,,BANDUNG,,,,,,
PN,vendor0108,KO PINPIN,,,FALSE,TRUE,,,,,,,,,,,,,,
V0083,vendor0109,Yunus (Faza Ghassani),,,FALSE,TRUE,,,,,,,,,,,,,,
V00030,vendor0110,Idola,,,FALSE,TRUE,,,,,,,,,,,,,,Net 14 Days
RN01,vendor0111,RIVIANI FAJAR (FAMOS),,,FALSE,TRUE,,,,,,,,,,,,,,Net 7 Days
CRN,vendor0112,Carona,,,FALSE,TRUE,,,,,,,,,,,,,,
SL.005,vendor0113,ADITAMA (LOGISTIK),,,FALSE,TRUE,,,,022-91928559,,,,ACHMAD SUDRAJAT,,,,,,
V0225,vendor0114,Baru & Rapih Bordir ,,,FALSE,TRUE,,,,,,,,,,,,,,
V0226,vendor0115,Rahmat BC,,,FALSE,TRUE,,,,,,,,,,,,,,
V0231,vendor0116,Nurhayati,,,FALSE,TRUE,,,,,,,,,,,,,,
V0236,vendor0117,Zaenal,,,FALSE,TRUE,,,,,,,,,,,,,,Immediate
Sri Cijerah,vendor0118,Sri Cijerah,,,FALSE,TRUE,,,,,,,,,,,,,,
V0253,vendor0119,PESONA-Vendor,,,FALSE,TRUE,,,,,,,,,,,,,,
SHA,vendor0120,SHAI (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
TIT,vendor0121,Titin Haryati (KS),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
INA,vendor0122,Bunina,,,FALSE,TRUE,,,,,,,,,,,,,,
S0010,vendor0123,KIRPALANI 48,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
S0016,vendor0124,"SHAFCO MULTI TRADING,PT",,,FALSE,TRUE,,,,,,,,BEKASI,,,,,,
V0195,vendor0125,Dunia Tex,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
S0004,vendor0126,OKTAVIANO,,,FALSE,TRUE,,,,,,,,TANGGERANG,,,,,,
S0028,vendor0127,OPINAS COLLECTION,,,FALSE,TRUE,,,,021-23570730,,,,JAKARTA,,,,,,
S0051,vendor0128,VENNY RICCI,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
S0079,vendor0129,"NIZAR, PAK",,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0027,vendor0130,No Name,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
K33,vendor0131,Kios Tiga-Tiga,,,FALSE,TRUE,,,,0366-23450,,,,KLUNGKUNG,,,,,,
LV01,vendor0132,LOVIKA (FAMOS),,,FALSE,TRUE,,,,81318100989,,,,TANAH ABANG,,,,,,
SYD,vendor0133,Syndicate industries,,,FALSE,TRUE,,,,7100667,,,,BANDUNG,,,,,,
THN,vendor0134,TOHIRUN,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
TIA,vendor0135,Tian Ma (SF),,,FALSE,TRUE,,,,89106068,,,,BANDUNG,,,,,,
TKS,vendor0136,Toko Soma (BP),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
VIR,vendor0137,Vivi - Apriani - Vira (PL),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0159,vendor0138,Banda Tex,,,FALSE,TRUE,,,,0817 823935,,,,BANDUNG,,,,,,
V0209,vendor0139,Alexandra F.S,,,FALSE,TRUE,,,,8161106410,,,,JAKARTA,,,,,,
AEC,vendor0140,Amara (shaffa),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
1000029,vendor0141,Tomi Kids,,,FALSE,TRUE,,,,,,,,,,,,,,
AMG,vendor0142,AMING,,,FALSE,TRUE,,,,,,,,,,,,,,
1000049,vendor0143,Dian ACC,,,FALSE,TRUE,,,,,,,,,,,,,,
1000051,vendor0144,Titin,,,FALSE,TRUE,,,,,,,,,,,,,,
ANU,vendor0145,Anugrah,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
JAC,vendor0146,JACC,,,FALSE,TRUE,,,,,,,,JAKARTA,,,,,,
FS.002,vendor0147,ADI BERSAUDARA,,,FALSE,TRUE,,,,021 - 31900969,,,,ADI BERSAUDARA,,,,,,
FS.014,vendor0148,SYGMA EXAMEDIA ARKANIEEMA,,,FALSE,TRUE,,,,022 - 7205791,,,,SYGMA EXAMEDIA ARKANIEEMA,,,,,,
1000016,vendor0149,Planatex,,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.016,vendor0150,FANN MODE (ZOYA),,,FALSE,TRUE,,,,,,,,FANN MODE (ZOYA),,,,,,
DD,vendor0151,DEDE,,,FALSE,TRUE,,,,,,,,,,,,,,
AM,vendor0152,PT Andro Multi ,,,FALSE,TRUE,,,,,,,,,,,,,,
SV.183,vendor0153,Cici Cintia (EC),,,FALSE,TRUE,,,,,,,,Cici Cintia (EC),,,,,,
TRIJAYA,vendor0154,TRIJAYA,,,FALSE,TRUE,,,,,,,,.BANDUNG,,,,,,
SS.161,vendor0155,PT.GINZA CIPTA INDAH (SLP),,,FALSE,TRUE,,,,021-6511405,,,,PT.GINZA CIPTA INDAH (SLP),,,,,,
CGB,vendor0156,Cahaya Gemilang Bandung,,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.152,vendor0157,Aria Putra,,,FALSE,TRUE,,,,,,,,Jakarta,,,,,,
FS.027,vendor0158,AL-LUTHFI,,,FALSE,TRUE,,,,,,,,JAKARTA PUSAT,,,,,,
FS.164,vendor0159,RITA,,,FALSE,TRUE,,,,,,,,RITA,,,,,,
SV.092,vendor0160,YUDI (SLP),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
SS.200,vendor0161,Hengmei Handicraft (SLP),,,FALSE,TRUE,,,,2089263243,,,,CHINA,,,,,,
SS.214,vendor0162,QING FENG ACC (SLP),,,FALSE,TRUE,,,,020-8926510,,,,QING FENG ACC (SLP),,,,,,
SOBANDI_,vendor0163,SOBANDI,,,FALSE,TRUE,,,,,,,,,,,,,,
Nat_,vendor0164,Natural Button,,,FALSE,TRUE,,,,,,,,,,,,,,
1000074,vendor0165,Bank Victoria Syariah,,,FALSE,TRUE,,,,,,,,,,,,,,
MB.002,vendor0166,Citibank,,,FALSE,TRUE,,,,,,,,,,,,,,
MB.003,vendor0167,ANZ,,,FALSE,TRUE,,,,,,,,,,,,,,
SL.002,vendor0168,Sudirman City Square,,,FALSE,TRUE,,,,,,,,,,,,,,
SS.026,vendor0169,"PT KURNIA ASTASURYA â€"" SURYATEX (SLP)",,,FALSE,TRUE,,,,(022) 6629618,,,,"PT KURNIA ASTASURYA â€"" SURYATEX",,,,,,
TKY,vendor0170,Turkey,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
V0201,vendor0171,Teni,,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
ZV.135,vendor0172,TACHJAT (ZOYA),,,FALSE,TRUE,,,,81809172430,,,,Tachjat,,,,,,
ZS.014,vendor0173,COTTON CENTRE (ZOYA),,,FALSE,TRUE,,,,224235676,,,,COTTON CENTRE (ZOYA),,,,,,
SV.176,vendor0174,DADI RUKHYADI (SLP),,,FALSE,TRUE,,,,,,,,DADI RUKHYADI (SLP),,,,,,
SV.052,vendor0175,LISNIE (SLP),,,FALSE,TRUE,,,,(022) 92366193,,,,LISNIE,,,,,,
ZSBH,vendor0176,Zhao Shun Bu Hang,,,FALSE,TRUE,,,,,,,,,,,,,,
V0218,vendor0177,ERA MURNI - Bordir (SLP),,,FALSE,TRUE,,,,022-92340473,,,,Jl.Babakan Hantap No.33 Antapani,,,,,,
SS.209,vendor0178,PT GUCCI RATU TEXTILE INDUSTRI  (SLP),,,FALSE,TRUE,,,,022-6030015 ,,,,PT GUCCI RATU TEXTILE INDUSTRI  (SLP),,,,,,
SV.154,vendor0179,DENISH (SLP),,,FALSE,TRUE,,,,,,,,DENISH,,,,,,
ZS.121,vendor0180,PT. Anugerah Familindo Utama (COSMETIC),,,FALSE,TRUE,,,,81807838055,,,,Cahyaa,,,,,,
ZV.160,vendor0181,CV.LBA GARMINDO (DENIM),,,FALSE,TRUE,,,,8170203672,,,,PENTA,,,,,,
ZV.171 ,vendor0182,RETRO PRIMA (ZH),,,FALSE,TRUE,,,,,,,,NOVI,,,,,,
ZV.125,vendor0183,OBAY SOBARNA-CV.P.A.D.L (ZOYA),,,FALSE,TRUE,,,,022-92473419,,,,OBAY SOBARNA (ZOYA),,,,,,
ZS.095,vendor0184,Sanggar Textile (ZOYA),,,FALSE,TRUE,,,,021-7204363,,,,Deepak Kumar,,,,,,
SS.028,vendor0185,NAPUTEX (SLP),,,FALSE,TRUE,,,,,,,,NAPUTEX,,,,,,
SS.233,vendor0186,PT Pukka Indonusa (SLP),,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.131,vendor0187,COSMOPACK ,,,FALSE,TRUE,,,,,,,,,,,,,,
ZV.139,vendor0188,MISBAH TAUFIQ  (ZOYA),,,FALSE,TRUE,,,,,,,,MISBAH TAUFIQ,,,,,,
SS.033,vendor0189,DFASHION (SLP),,,FALSE,TRUE,,,,(022) 4245585 / (022) 4245587,,,,D'FASHION,,,,,,
MS.024,vendor0190,Distribute Merchandising,,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.115,vendor0191,C59 (MHN),,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.117,vendor0192,CV. CIPTA CEKAS GRATIKA (MHN),,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.118,vendor0193,DEDY NOPRIADY (MHN),,,FALSE,TRUE,,,,,,,,,,,,,,
SV.082,vendor0194,MUKHLIS (SLP),,,FALSE,TRUE,,,,,,,,BANDUNG,,,,,,
SS.271,vendor0195,BRIGHT ADVANCE TEXTILE (SLP),,,FALSE,TRUE,,,,020-89234689,,,,China,,,,,,
ZS.057,vendor0196,UD. SINAR MONEN (ZOYA),,,FALSE,TRUE,,,,8158804819,,,,JAKARTA UTARA,,,,,,
ZS.058,vendor0197,PD. LOVE (ZOYA),,,FALSE,TRUE,,,,81809719888,,,,JAKARTA PUSAT,,,,,,
ZV.156,vendor0198,PORTICO&FRIENDS (MHN),,,FALSE,TRUE,,,,8121431813,,,,A.M ARIFIN,,,,,,
ZV.032,vendor0199,IMAS (ZOYA),,,FALSE,TRUE,,,,022-76484313,,,,IMAS (ZOYA),,,,,,
ZV.037,vendor0200,KARSIDI (ZOYA),,,FALSE,TRUE,,,,022-91743395,,,,KARSIDI (ZOYA),,,,,,
ZV.038,vendor0201,KASIRAN (ZOYA),,,FALSE,TRUE,,,,91214495,,,,KASIRAN (ZOYA),,,,,,
ZV.040,vendor0202,KOKOM (ZOYA),,,FALSE,TRUE,,,,818433028,,,,BANDUNG,,,,,,
SV.029,vendor0203,ELVA (SLP),,,FALSE,TRUE,,,,,,,,,,,,,,
SV.094,vendor0204,ENTIN (SLP),,,FALSE,TRUE,,,,,,,,,,,,,,
SV.187,vendor0205,Ratih (Standard),,,FALSE,TRUE,,,,,,,,Ratih (Standard),,,,,,
SS.125,vendor0206,AHMAD (SLP),,,FALSE,TRUE,,,,,,,,AHMAD (SLP),,,,,,
EC.001,vendor0207,CHINA ZHONGDA (SLP),,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.073,vendor0208,KRISTALIA (ZOYA),,,FALSE,TRUE,,,,022-4246224,,,,KRISTALIA (ZOYA),,,,,,
OS.001,vendor0209,Priority Cargo & Package,,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.184,vendor0210,SANDANG MURAH TEX (MEZORA),,,FALSE,TRUE,,,,81322265168,,,,SAUDI,,,,,,
BND,vendor0211,Bunda Nanda,,,FALSE,TRUE,,,,,,,,,,,,,,
CN,vendor0212,Chaniago,,,FALSE,TRUE,,,,,,,,,,,,,,
SV.144,vendor0213,MULYANA (SLP),,,FALSE,TRUE,,,,,,,,MULYANA,,,,,,
ZV.190,vendor0214,EUIS JULAEHA (ZOYA),,,FALSE,TRUE,,,,,,,,"RANCABUNGUR DS CILOLOHAN TANJUNG RAYA,TASIKMALAYA",,,,,,
ZS.202,vendor0215,MULTI RENDA (SMT),,,FALSE,TRUE,,,,,,,,MULTI RENDA (SMT),,,,,,
ZV.191,vendor0216,DEDEN DANARWANDI (ZOYA),,,FALSE,TRUE,,,,2292969601,,,,DEDEN,,,,,,
ZV.193,vendor0217,DALIATEX (DENIM),,,FALSE,TRUE,,,,,,,,ALWIN,,,,,,
SS.305,vendor0218,PT POPULAR DAENONG (ENCYCLO),,,FALSE,TRUE,,,,022 6676529,,,,EARLY FRIDA,,,,,,
1000002,vendor0219,Golden,,,FALSE,TRUE,,,,,,,,,,,,,,
SS.087,vendor0220,QATIFA (SLP),,,FALSE,TRUE,,,,,,,,QATIFA (SLP),,,,,,
SS.287,vendor0221,ASHLEE EMBLISMENT (SLP),,,FALSE,TRUE,,,,0812-2000-3338,,,,Bandung,,,,,,
SV.190,vendor0222,Desi (Standard),,,FALSE,TRUE,,,,,,,,Desi (Standard),,,,,,
ZS.009,vendor0223,CHARISMA SUPERMARKET (ZOYA),,,FALSE,TRUE,,,,,,,,CHARISMA SUPERMARKET,,,,,,
SV.002,vendor0224,ADE SAMSUDIN (SLP),,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.032,vendor0225,PT. CENTRAL GEORGETTE NUSANTARA (ZOYA),,,FALSE,TRUE,,,,226032680,,,,PT.CENTRAL GEORGETTE NUSANTARA,,,,,,
CITRA,vendor0226,CITRA BUSANA (EC),,,FALSE,TRUE,,,,,,,,.JAKARTA PUSAT,,,,,,
ZV.195,vendor0227,PAST PRODUCTION (MHN),,,FALSE,TRUE,,,,85624302975,,,,TONI HARTANTO,,,,,,
SS.130,vendor0228,PD. HEGAR UTAMA (SLP),,,FALSE,TRUE,,,,(022)91103046,,,,PD.HEGAR UTAMA (SLP),,,,,,
SS.283,vendor0229,JIN ZIRONG SILK (SLP),,,FALSE,TRUE,,,,,,,,China,,,,,,
SS.268,vendor0230,ZHONGDA F 2009 (SLP),,,FALSE,TRUE,,,,020-89106526,,,,Zhongda,,,,,,
SS.282,vendor0231,XIN KANG YUAN (SLP),,,FALSE,TRUE,,,,13805712228,,,,China,,,,,,
ZS.161,vendor0232,PT. TIFATEX PAKAR LESTARI (ZOYA),,,FALSE,TRUE,,,,022-6866641 ,,,,Padalarang,,,,,,
SS.144,vendor0233,CHINA (SLP),,,FALSE,TRUE,,,,,,,,CHINA,,,,,,
ZV.035,vendor0234,JAJANG STIK /YADI M(ZOYA),,,FALSE,TRUE,,,,,,,,JAJANG-STIK (ZOYA),,,,,,
NAF,vendor0235,NAFTALI TEXTILE,,,FALSE,TRUE,,,,,,,,,,,,,,
ZS.170,vendor0236,MIKE KERUDUNG (MEZORA),,,FALSE,TRUE,,,,81276797193,,,,MIKE,,,,,,
FEBY IV COll (FBY),vendor0237,FEBY IV COll  (FAMOS),,,FALSE,TRUE,,,,,,,,JAK PUS,,,,,,
SL.003,vendor0238,Nissan Indomobil Prada (NIP),,,FALSE,TRUE,,,,,,,,,,,,,,
DBS,vendor0239,D-Best,,,FALSE,TRUE,,,,,,,,,,,,,,
V0228,vendor0240,Toko Fortuna,,,FALSE,TRUE,,,,,,,,,,,,,,
TTM,vendor0241,CV. TRITUNGGAL MITRA TEXTILLE,,,FALSE,TRUE,,,,,,,,,,,,,,
S0147,vendor0242,Eastgent Company,,,FALSE,TRUE,,,,,,,,,,,,,,
S0148,vendor0243,Horas Textile,,,FALSE,TRUE,,,,,,,,,,,,,,
TLB,vendor0244,Telaga Biru,,,FALSE,TRUE,,,,,,,,,,,,,,Immediate
GZ,vendor0245,Gizzta Muslimah,,,FALSE,TRUE,,,,,,,,,,,,,,
HLM,vendor0246,Halim Accessories,,,FALSE,TRUE,,,,,,,,,,,,,,Net 14 Days
JON,vendor0247,Djoni Kusardi,,,FALSE,TRUE,,,,,,,,,,,,,,Immediate
KOMAR,vendor0248,KOMAR,,,FALSE,TRUE,,,,,,,,,,,,,,Net 14 Days
SV.143,vendor0249,ADE SYAMSUDIN (SLP),,,FALSE,TRUE,,,,,,,,ADES SYAMSUDIN,,,,,,After Delivery
MAB,vendor0250,MEKAR ABADI,,,FALSE,TRUE,,,,,,,,,,,,,,Net 7 Days
MRH,vendor0251,Toko Murah 2,,,FALSE,TRUE,,,,,,,,,,,,,,Net 60 Days
S0145,vendor0252,Trimurni,,,FALSE,TRUE,,,,,,,,,,,,,,Immediate
